lga_code20,lga_name20,lga_type20,area_sqkm,latitude,longitude
16380,Port Macquarie-Hastings,A,3682.3921,-31.409760473273400,152.53121092999900
16400,Port Stephens,A,858.4357,-32.72179515695380,151.84472212177100
16490,Queanbeyan-Palerang Regional,A,5318.8822,-35.4227563716321,149.62717862270300
16550,Randwick,C,36.3311,-33.943238930021000,151.24020952559900
16610,Richmond Valley,A,3047.3748,-29.059627327503700,153.04628155567700
16700,Ryde,C,40.4748,-33.799138779279900,151.11056233977100
16900,Shellharbour,C,147.4211,-34.58269233910430,150.77386846945200
16950,Shoalhaven,C,4566.6795,-35.094418228931200,150.37328614856700
17000,Singleton,A,4892.717,-32.660378483946900,150.96453304192200
17040,Snowy Monaro Regional,A,15163.5461,-36.396453974398700,148.95891075369100
17080,Snowy Valleys,A,8959.0028,-35.73378455778760,148.24919061126700
17100,Strathfield,A,14.0009,-33.880425741482500,151.07643713487300
17150,Sutherland Shire,A,333.5933,-34.07513753325490,151.05101271449300
17200,Sydney,C,26.7429,-33.88936326971210,151.2027401253630
17310,Tamworth Regional,A,9884.3506,-30.892516964246800,150.90705809202000
17350,Temora,A,2802.016,-34.387939588555300,147.48365633456200
17400,Tenterfield,A,7322.793,-28.943838002570300,152.08643220703500
17420,The Hills Shire,A,386.1588,-33.58826054233070,150.96203408848900
17550,Tweed,A,1307.6562,-28.360000701173300,153.35626833714900
17620,Upper Hunter Shire,A,8096.0892,-31.969255270677700,150.72652134529000
17640,Upper Lachlan Shire,A,7127.3957,-34.41772232836910,149.45566952755300
17650,Uralla,A,3226.5327,-30.507675593893300,151.3123291708670
17750,Wagga Wagga,C,4824.4889,-35.196616682465400,147.36635092022600
17850,Walcha,A,6261.0242,-31.163901991989300,151.78452867614600
17900,Walgett,A,22308.3848,-29.8166591119328,148.19445520686000
17950,Warren,A,10753.7673,-31.325652824256900,147.6798439854900
18020,Warrumbungle Shire,A,12372.1201,-31.462806811003000,149.40539253085900
18050,Waverley,A,9.3507,-33.890050950219,151.26684605392200
18100,Weddin,A,3414.8566,-33.871913320590700,148.01124330639500
18200,Wentworth,A,26256.2398,-33.57021124828820,142.24288013984700
18250,Willoughby,C,22.4258,-33.80109839960380,151.19637054464600
18350,Wingecarribee,A,2689.3413,-34.47693689400320,150.35625908979100
18400,Wollondilly,A,2555.434,-34.10194097316730,150.44379513426200
18450,Wollongong,C,683.986,-34.36879338641600,150.83711616518300
18500,Woollahra,A,12.2775,-33.87167499299240,151.25739234210400
18710,Yass Valley,A,3995.3257,-34.954201599210700,148.88499357660300
19399,Unincorporated NSW,,93214.1592,-30.654720488735400,142.21569110472600
19499,No usual address (NSW),,0.0,0.0,0.0
19799,Migratory - Offshore - Shipping (NSW),,0.0,0.0,0.0
20110,Alpine,S,4788.1568,-36.853568862137000,146.97417160321100
20260,Ararat,RC,4211.1171,-37.472709065334700,142.84319092992000
20570,Ballarat,C,739.0321,-37.49285355712450,143.78147064953200
20660,Banyule,C,62.5402,-37.73044097444070,145.085140869005
20740,Bass Coast,S,865.8095,-38.5072886170397,145.55805565623600
20830,Baw Baw,S,4027.6287,-37.98399912489180,146.13150270499700
20910,Bayside,C,37.2111,-37.94183906281220,145.0181539463280
21010,Benalla,RC,2352.6397,-36.58700296570680,146.02376158463200
21110,Boroondara,C,60.1774,-37.819286269502100,145.06308912642600
21180,Brimbank,C,123.3991,-37.747552941084700,144.80331069710900
21270,Buloke,S,8000.4027,-35.91238555028400,143.00493029471200
21370,Campaspe,S,4518.8582,-36.34519230464260,144.71641400302200
21450,Cardinia,S,1282.5678,-38.083013787398700,145.57268532206900
21610,Casey,C,409.4289,-38.104350165159700,145.30901094947700
21670,Central Goldfields,S,1532.7843,-37.007162459594200,143.71384064939300
21750,Colac-Otway,S,3437.4701,-38.451960911534000,143.59518176785200
21830,Corangamite,S,4407.4921,-38.20432331000910,143.19865119839200
21890,Darebin,C,53.4711,-37.73345861259110,145.01433314367300
22110,East Gippsland,S,20940.2326,-37.37801723413180,148.29166660035300
22170,Frankston,C,129.598,-38.134608195495200,145.1737988114190
22250,Gannawarra,S,3735.3353,-35.751581537267900,143.80423228153200
22310,Glen Eira,C,38.6906,-37.90120582485230,145.0426025497580
22410,Glenelg,S,6218.5734,-37.870498535144600,141.38572818609200
22490,Golden Plains,S,2703.3898,-37.88206521756110,143.84251105540700
22620,Greater Bendigo,C,2999.9721,-36.73444118153380,144.42264588137900
22670,Greater Dandenong,C,129.5469,-38.00558933171230,145.19000911028300
22750,Greater Geelong,C,1247.9876,-38.068958664084500,144.41716237457100
22830,Greater Shepparton,C,2421.9093,-36.396994539613900,145.38619912950500
22910,Hepburn,S,1472.9844,-37.31693705316230,144.05756049847500
22980,Hindmarsh,S,7524.1824,-36.05151799296500,141.75255414770700
23110,Hobsons Bay,C,64.2404,-37.85472062206970,144.8297576705760
23190,Horsham,RC,4266.769,-36.82574523819540,142.09045009992300
23270,Hume,C,503.8505,-37.58918223643520,144.824534272024
23350,Indigo,S,2040.069,-36.22554892034020,146.7230938482370
23430,Kingston (Vic.),C,91.3677,-37.988583532467500,145.1050722793960
23670,Knox,C,113.9115,-37.88898225116200,145.25866967898800
23810,Latrobe (Vic.),C,1425.6128,-38.274564547187700,146.43813509261900
23940,Loddon,S,6696.4447,-36.36390536068400,143.86714228440200
24130,Macedon Ranges,S,1748.2837,-37.3356677243828,144.61661359837300
24210,Manningham,C,113.3478,-37.76159034589,145.1885608168890
24250,Mansfield,S,3843.8535,-37.20042706137650,146.20683573642700
24330,Maribyrnong,C,31.2254,-37.79526741060560,144.87777228501100
24410,Maroondah,C,61.4097,-37.80487231632040,145.26526144554000
24600,Melbourne,C,37.3513,-37.81049808535380,144.94390486665800
24650,Melton,C,527.5374,-37.6930056303138,144.62598181241500
24780,Mildura,RC,22082.4836,-34.86921286072020,141.6828621074270
24850,Mitchell,S,2862.0833,-37.13753045476960,145.00160515947800
24900,Moira,S,4046.3738,-36.061891909709400,145.55035824462100
24970,Monash,C,81.4829,-37.89714147151350,145.1440334646500
25060,Moonee Valley,C,43.1386,-37.74949992453640,144.89576166688500
25150,Moorabool,S,2110.5504,-37.63277513486740,144.21565036838600
25250,Moreland,C,50.9519,-37.729918557360600,144.9488879955210
25340,Mornington Peninsula,S,724.1679,-38.34168733556350,145.03533171576800
25430,Mount Alexander,S,1529.6184,-37.050790244072300,144.19293669552600
25490,Moyne,S,5481.6861,-38.12245428487820,142.4900356676560
25620,Murrindindi,S,3879.7505,-37.31098103865300,145.63010534708600
25710,Nillumbik,S,432.3373,-37.62291462834880,145.23680434536300
25810,Northern Grampians,S,5729.8764,-36.84462899780770,142.91964299220900
25900,Port Phillip,C,20.7092,-37.851815785668600,144.96579723928000
25990,Pyrenees,S,3434.5689,-37.31645793699970,143.37504108255700
26080,Queenscliffe,B,8.6166,-38.264280296349700,144.6477153977380
26170,South Gippsland,S,3296.3307,-38.62137710160930,146.0759918816720
26260,Southern Grampians,S,6654.0186,-37.53653333967190,142.03309397315500
26350,Stonnington,C,25.6514,-37.85795482868840,145.03365690589500
26430,Strathbogie,S,3303.2568,-36.760331445627800,145.43491750740500
26490,Surf Coast,S,1552.944,-38.31230179173810,144.05312205262700
26610,Swan Hill,RC,6115.3087,-35.1202053103785,143.12545540472600
26670,Towong,S,6674.9467,-36.35445046677810,147.59885786276300
26700,Wangaratta,RC,3645.1095,-36.5882689170341,146.42838546207000
26730,Warrnambool,C,120.9488,-38.37144385091280,142.51181387519800
26810,Wellington,S,10817.3346,-37.894350551139900,146.91934771313800
26890,West Wimmera,S,9108.2042,-36.67556542792160,141.2793633329050
26980,Whitehorse,C,64.28,-37.83024850796360,145.15505991505900
27070,Whittlesea,C,489.6939,-37.54721248855000,145.07769265735400
27170,Wodonga,C,432.6894,-36.150556056116,146.88261739687500
27260,Wyndham,C,542.0949,-37.886647000210700,144.61825238323700
27350,Yarra,C,19.5425,-37.802280819584,144.9985485543600
27450,Yarra Ranges,S,2468.205,-37.714276366846300,145.69703661313300
27630,Yarriambiack,S,7325.797,-35.99006415569210,142.41900922792300
29399,Unincorporated Vic,,283.0142,-37.899110116620500,145.89278994506900
29499,No usual address (Vic.),,0.0,0.0,0.0
29799,Migratory - Offshore - Shipping (Vic.),,0.0,0.0,0.0
30250,Aurukun,S,7423.989,-13.609376947645400,141.8284465883570
30300,Balonne,S,31103.7071,-28.31589448535970,148.1161708998240
30370,Banana,S,28550.1626,-24.935166910223600,149.9387035081620
30410,Barcaldine,R,53382.6558,-23.113687029760500,145.69342089709900
30450,Barcoo,S,61830.0907,-25.13106967468430,142.26746186941800
30760,Blackall-Tambo,R,30537.2479,-24.78563034141170,145.79125585292200
30900,Boulia,S,60905.7352,-22.480464525821300,139.2464542850410
31000,Brisbane,C,1342.7188,-27.43784099474080,153.03900329211500
31750,Bulloo,S,73723.751,-28.02130615115490,142.59483606856300
31820,Bundaberg,R,6431.003,-24.967818429869300,152.0357622383180
31900,Burdekin,S,5043.9317,-19.82358276996190,147.2431054111060
31950,Burke,S,39684.0526,-18.031331515209100,138.94768408528200
32080,Cairns,R,1689.3129,-17.160160240236200,145.81900114344200
32250,Carpentaria,S,64121.0124,-17.444397120835300,141.3647459166530
32260,Cassowary Coast,R,4687.824,-17.959551391600400,145.92597236777300
32270,Central Highlands (Qld),R,59834.8359,-24.031456961398900,148.4158120003410
32310,Charters Towers,R,68382.1643,-20.14886266738680,145.7882029276800
32330,Cherbourg,S,31.6002,-26.288808544871700,151.9359930302390
32450,Cloncurry,S,47971.2596,-20.81770446325160,140.2647626006620
32500,Cook,S,105718.7588,-14.235955531015500,143.2596660949550
32600,Croydon,S,29497.9024,-18.554099588311300,142.21680114658800
32750,Diamantina,S,94730.4545,-24.630274670216200,139.73181967425300
32770,Doomadgee,S,1827.6518,-17.596528694030500,138.78095322543300
32810,Douglas,S,2427.8626,-16.222040823320400,145.28669678886800
33100,Etheridge,S,39199.2956,-18.50462097634770,143.6604051227650
33200,Flinders (Qld),S,41199.9374,-20.973880239063500,144.32172739911600
33220,Fraser Coast,R,7104.5987,-25.527901800045600,152.676731462601
33360,Gladstone,R,10484.2862,-24.176323199389400,151.30703082927300
33430,Gold Coast,C,1333.7031,-27.98055784546530,153.31847701873000
33610,Goondiwindi,R,19258.1008,-28.37358977161960,150.3398927334230
33620,Gympie,R,6883.9713,-26.147037722236700,152.4636346162500
33800,Hinchinbrook,S,2807.1889,-18.661894967580100,146.04760884007800
33830,Hope Vale,S,1111.7099,-15.16775039409580,145.19156643323300
33960,Ipswich,C,1093.857,-27.665615475712700,152.66746261965900
33980,Isaac,R,58707.9174,-22.23810156364240,147.89185170585200
34420,Kowanyama,S,2555.3325,-15.319527854035900,141.8105635537680
34530,Livingstone,S,11757.8683,-22.795984255491700,150.19347439091300
34570,Lockhart River,S,3575.4992,-13.005416894377500,143.24026069725100
34580,Lockyer Valley,R,2269.0053,-27.642729863133300,152.24055216408700
34590,Logan,C,958.1322,-27.76239608502540,153.04020702687200
34710,Longreach,R,40572.2443,-23.718133907258200,143.95931905818400
34770,Mackay,R,7613.2964,-21.139091863290300,148.80424295466800
34800,McKinlay,S,40736.7989,-20.533997586414400,141.58696429121600
34830,Mapoon,S,537.1003,-12.141761748207900,141.91980419781100
34860,Maranoa,R,58719.3446,-26.54428381635410,148.2876922302010
34880,Mareeba,S,53491.05,-16.984737153606300,143.95517147651500
35010,Moreton Bay,R,2041.4746,-27.11799305792430,152.88312009868600
35250,Mornington,S,1247.6932,-16.631833261190500,139.40131195646200
35300,Mount Isa,C,43713.0221,-19.953914986241200,138.78226235990700
35600,Murweh,S,40699.7585,-26.18967956810790,146.4894761808390
35670,Napranum,S,2004.3545,-12.515767769487100,142.11243818400300
35740,Noosa,S,869.8657,-26.32485421040590,152.9455759650650
35760,North Burnett,R,19669.8489,-25.355283575385400,151.20416680331200
35780,Northern Peninsula Area,R,1052.0676,-11.004916189638100,142.31289021304900
35790,Palm Island,S,71.9928,-18.731360930438400,146.60025239512100
35800,Paroo,S,47612.8774,-28.07291939558080,145.7712820572100
36070,Pormpuraaw,S,4395.3657,-14.719406678258600,141.80739751839500
36150,Quilpie,S,67414.6563,-26.34882992088810,143.8934384125790
36250,Redland,C,537.167,-27.568598488158600,153.36084294455400
36300,Richmond,S,26580.7478,-20.540655456548500,142.90105689537400
36370,Rockhampton,R,6570.2667,-23.441143587727900,150.21842065858500
36510,Scenic Rim,R,4242.7432,-28.06232539824810,152.79618896888100
36580,Somerset,R,5373.4337,-27.008936601371600,152.42521331755300
36630,South Burnett,R,8381.558,-26.405220843424800,151.64692558163700
36660,Southern Downs,R,7107.816,-28.405525146821000,151.88581245330700
36720,Sunshine Coast,R,2253.8526,-26.69618141499620,152.8983519058460
36820,Tablelands,R,11292.8698,-17.93079274424270,145.33053409658700
36910,Toowoomba,R,12957.2108,-27.581992309552000,151.5338929418080
36950,Torres,S,883.731,-10.73116317204400,142.41227811591000
36960,Torres Strait Island,R,490.031,-9.85911737381313,142.36557135083100
37010,Townsville,C,3730.82,-19.39083310550780,146.71166986917800
37300,Weipa,T,10.8218,-12.640445858114600,141.8789037859050
37310,Western Downs,R,37922.5008,-26.84177589226120,150.34765567057700
37340,Whitsunday,R,23818.8922,-20.7009410422293,147.7246964487840
37400,Winton,S,53813.4826,-22.53914475595510,142.42449783953100
37550,Woorabinda,S,390.5578,-23.943951418819600,149.5255454855490
37570,Wujal Wujal,S,11.842,-15.968303251792700,145.3131922366970
37600,Yarrabah,S,158.8381,-16.99453947266200,145.89715952275100
39499,No usual address (Qld),,0.0,0.0,0.0
39799,Migratory - Offshore - Shipping (Qld),,0.0,0.0,0.0
40070,Adelaide,C,15.5733,-34.92198297494690,138.59891260239400
40120,Adelaide Hills,DC,794.4957,-34.89282375245150,138.83622923056400
40150,Adelaide Plains,DC,932.4913,-34.48062208027870,138.4546770262410
40220,Alexandrina,DC,1826.8066,-35.35191397029900,138.8783520042500
40250,Anangu Pitjantjatjara,AC,102353.0512,-27.07764262256520,131.20558104394600
40310,Barossa,DC,893.5424,-34.621064365289700,139.00168242307700
40430,Barunga West,DC,1590.3887,-33.79896707867680,137.9563366375370
40520,Berri and Barmera,DC,476.1962,-34.265854411239500,140.48890570906800
40700,Burnside,C,27.5183,-34.93997635761430,138.65986719282500
40910,Campbelltown (SA),C,24.3486,-34.88372581468390,138.6822336450620
41010,Ceduna,DC,5420.3436,-32.10211170176200,133.87242030125900
41060,Charles Sturt,C,54.7876,-34.89036509667620,138.52361107488300
41140,Clare and Gilbert Valleys,DC,1892.4466,-34.0039701286937,138.7359694646820
41190,Cleve,DC,5018.8484,-33.6503096823257,136.28475039061600
41330,Coober Pedy,DC,77.6795,-29.0158585533551,134.75235293151000
41560,Copper Coast,DC,772.9149,-33.98339270728770,137.72895836990700
41750,Elliston,DC,6741.9317,-33.56155315347440,135.34460736139500
41830,Flinders Ranges,DC,4070.4827,-32.0756239257693,138.30119070704000
41960,Franklin Harbour,DC,2755.564,-33.53430315949480,136.96440784315500
42030,Gawler,T,41.1379,-34.62212680804850,138.7298820057580
42110,Goyder,DC,6715.1418,-33.64597117936100,139.0740751800270
42250,Grant,DC,1898.0143,-37.846103707613800,140.72476870038100
42600,Holdfast Bay,C,13.752,-35.00114400919840,138.52130996937700
42750,Kangaroo Island,DC,4400.8558,-35.827819525166900,137.23976879206500
43080,Karoonda East Murray,DC,4415.7959,-34.95050498567880,140.02009493110700
43220,Kimba,DC,5697.1076,-33.00269331957720,136.14379931628800
43360,Kingston (SA),DC,3339.7952,-36.64351574751790,140.02550956764800
43650,Light (RegC),,1276.8453,-34.41110559197630,138.84649428366900
43710,Lower Eyre Peninsula,DC,4721.2875,-34.41245492825450,135.59708303014500
43790,Loxton Waikerie,DC,7763.9231,-34.50822871544700,140.35162494817200
44000,Maralinga Tjarutja,AC,102703.899,-29.329217138341200,130.9386590859520
44060,Marion,C,55.6407,-35.03248302932590,138.53969627464400
44210,Mid Murray,DC,6271.6254,-34.45022079819840,139.46138698433300
44340,Mitcham,C,75.5468,-35.003875672501500,138.62175005404500
44550,Mount Barker,DC,594.6405,-35.08580932856640,138.87500436169100
44620,Mount Gambier,C,33.8938,-37.82534521945300,140.7816824300220
44830,Mount Remarkable,DC,3422.7733,-32.75828444109290,138.2051128463330
45040,Murray Bridge,RC,1831.7597,-35.159318582277000,139.3017830022760
45090,Naracoorte and Lucindale,DC,4520.127,-36.9772553163682,140.54735387801000
45120,Northern Areas,DC,2986.1818,-33.28640906560290,138.51141969284000
45290,Norwood Payneham St Peters,C,15.1036,-34.907573861441600,138.63644963800500
45340,Onkaparinga,C,518.1251,-35.1786880483252,138.5688525902780
45400,Orroroo/Carrieton,DC,3321.8238,-32.52076898851100,138.63935379447300
45540,Peterborough,DC,3020.142,-32.86412251632200,139.05964114236300
45680,Playford,C,345.203,-34.688889284266900,138.6629665761110
45890,Port Adelaide Enfield,C,91.7586,-34.84071200581510,138.56150766255000
46090,Port Augusta,C,1195.5836,-32.59564698644410,137.75516645290700
46300,Port Lincoln,C,30.3681,-34.729221209331400,135.8511284444880
46450,Port Pirie City and Dists,M,1760.7097,-33.37684231609980,138.10593234350800
46510,Prospect,C,7.7915,-34.88399707382980,138.59793580401500
46670,Renmark Paringa,DC,915.8655,-34.18235452465860,140.81402109298000
46860,Robe,DC,1091.7162,-37.18768420316140,139.97944243996100
46970,Roxby Downs,M,110.4762,-30.55438582252690,136.88117864537100
47140,Salisbury,C,159.8432,-34.77265897883650,138.61129931239300
47290,Southern Mallee,DC,5702.2095,-35.39392081968970,140.5743520998270
47490,Streaky Bay,DC,6222.8591,-32.70891704144300,134.56402852987000
47630,Tatiara,DC,6527.2084,-36.22791994278240,140.58444062715500
47700,Tea Tree Gully,C,95.2108,-34.80516160168770,138.71804094396100
47800,The Coorong,DC,8833.434,-35.713808218220200,139.76131151972800
47910,Tumby Bay,DC,2669.0747,-34.179334127021900,136.01969717271900
47980,Unley,C,14.2703,-34.95479720059450,138.60403229091800
48050,Victor Harbor,C,384.6255,-35.512789890767300,138.54616146691000
48130,Wakefield,DC,3468.4881,-33.99144534360540,138.35650495287100
48260,Walkerville,M,3.53,-34.892785827232000,138.61710948006800
48340,Wattle Range,DC,3926.3233,-37.47040531924530,140.51887680148000
48410,West Torrens,C,37.04,-34.94140637789560,138.5438613120490
48540,Whyalla,C,1071.3398,-33.03731912616020,137.4943368556630
48640,Wudinna,DC,5075.2783,-33.02866409039930,135.31463839246800
48750,Yankalilla,DC,751.2577,-35.51859226784390,138.33709316901200
48830,Yorke Peninsula,DC,5899.6079,-34.68371183833760,137.55994059792300
49399,Unincorporated SA,,622489.4848,-29.590226995629700,136.74961358499100
49499,No usual address (SA),,0.0,0.0,0.0
49799,Migratory - Offshore - Shipping (SA),,0.0,0.0,0.0
50080,Albany,C,4310.8905,-34.73895437204800,118.18300477322200
50210,Armadale,C,559.5261,-32.16753197265790,116.13697809048500
50250,Ashburton,S,100818.2074,-22.493639107122400,116.72623432440100
50280,Augusta-Margaret River,S,2122.3749,-34.03087722821940,115.22779052381600
50350,Bassendean,T,10.3449,-31.903847532552200,115.94522108690500
50420,Bayswater,C,34.6168,-31.90378891613020,115.90781702491900
50490,Belmont,C,39.8246,-31.95623366332160,115.94831778998500
50560,Beverley,S,2370.5195,-32.17466448844100,116.79657926804600
50630,Boddington,S,1904.4791,-32.81629629956270,116.39989012366700
50770,Boyup Brook,S,2826.4586,-33.891767670686200,116.52403016157700
50840,Bridgetown-Greenbushes,S,1337.361,-34.003780949864300,116.19099007582200
50910,Brookton,S,1601.1532,-32.36199532461830,117.00308915734600
50980,Broome,S,54401.8236,-18.670218525842600,122.46367961909400
51080,Broomehill-Tambellup,S,2609.6585,-34.00250967168440,117.66131855567600
51120,Bruce Rock,S,2724.6944,-31.95258954493120,118.02862997353100
51190,Bunbury,C,65.4163,-33.351646561009300,115.66439402632700
51260,Busselton,C,1454.0505,-33.718444010750000,115.34885982057700
51310,Cambridge,T,21.9554,-31.936278654111500,115.7863993567330
51330,Canning,C,64.8789,-32.03689462333900,115.91635099153700
51400,Capel,S,557.8983,-33.53235059291760,115.63571982297000
51470,Carnamah,S,2870.9247,-29.773222869498900,115.57783240619400
